datatime,maxdepth,mincount,model,nterms,ntest,ntrain,predicttime,rmse,rmsetime,traintime
23.395166808,1024,7,taiga,127,131072,2097152,17.177089422,42.207724016935664,0.023994161,2842.024814645
18.010943062,1024,15,taiga,127,131072,2097152,15.768438429,42.12984599216784,0.030581445,2323.229550195
17.911662203,1024,31,taiga,127,131072,2097152,13.957115067,42.067852167295285,0.006955426,2075.644808106
17.796832168,1024,63,taiga,127,131072,2097152,12.707035019,42.022754304700975,0.011598921,1936.88818684
17.884745563,1024,127,taiga,127,131072,2097152,11.662787774,42.00623686909386,0.00798509,1817.710673771
17.806644374,1024,255,taiga,127,131072,2097152,11.055976433,42.003540293105424,0.007141573,1733.128589477
17.781813116,1024,511,taiga,127,131072,2097152,9.530556525,42.010544389830514,0.006385278,1633.098171525
17.675829055,1024,1023,taiga,127,131072,2097152,8.676752241,42.024560628068606,0.008093456,1559.402937432
17.731119423,1024,2047,taiga,127,131072,2097152,7.544397146,42.05257754403751,0.006476652,1464.258231651
19.246086369,1024,4095,taiga,127,131072,2097152,6.621839833,42.10166357252205,0.006398493,1371.799434082
