model,ntrain,ntest,datatime,traintime,predicttime,rmsetime,rmse,mincount,maxdepth,ntrees
h2o,2097152,131072,40.92,2212.71,13.3699999999999,0,42.2552782469632,7,1024,127
h2o,2097152,131072,36,1432.98,11.8800000000001,0,42.1493769073225,15,1024,127
h2o,2097152,131072,35.9400000000001,1002.81,10.8300000000008,0,42.0765353540817,31,1024,127
h2o,2097152,131072,35.9400000000005,722.09,9.77999999999975,0,42.0346616128262,63,1024,127
h2o,2097152,131072,35.9800000000005,536.94,8.85000000000036,0,42.0253368412009,127,1024,127
h2o,2097152,131072,35.8299999999999,423.67,9.40999999999985,0,42.0110047211761,255,1024,127
h2o,2097152,131072,35.8299999999999,346.66,7.76000000000022,0,42.0261019504288,511,1024,127
h2o,2097152,131072,35.9700000000003,288.52,6.66999999999916,0,42.0566034536231,1023,1024,127
h2o,2097152,131072,36.0800000000008,236.809999999999,6.82999999999993,0,42.094227027891,2047,1024,127
h2o,2097152,131072,35.9499999999998,199.33,5.57999999999993,0,42.1453824514682,4095,1024,127
